"Id","Experiment","Sex","Drug","Genotype","Trial","Outcome"
9,1,"M","SKF","KI",3,0.015
9,1,"M","SKF","KI",4,0.015
9,2,"M","SKF","KI",1,0.018
9,2,"M","SKF","KI",2,0.016
9,2,"M","SKF","KI",3,0.015
9,2,"M","SKF","KI",4,0.019
10,1,"M","Saline","KI",1,0.021
10,1,"M","Saline","KI",2,0.022
10,1,"M","Saline","KI",3,0.017
10,1,"M","Saline","KI",4,0.016
10,2,"M","Saline","KI",1,0.018
10,2,"M","Saline","KI",2,0.016
10,2,"M","Saline","KI",3,0.015
10,2,"M","Saline","KI",4,0.014
10,1,"M","SKF","KI",1,0.018
10,1,"M","SKF","KI",2,0.015
10,1,"M","SKF","KI",3,0.014
10,1,"M","SKF","KI",4,0.016
10,2,"M","SKF","KI",1,0.016
10,2,"M","SKF","KI",2,0.016
10,2,"M","SKF","KI",3,0.016
10,2,"M","SKF","KI",4,0.014
11,1,"F","Saline","WT",1,0.026
11,1,"F","Saline","WT",2,0.022
11,1,"F","Saline","WT",3,0.015
11,1,"F","Saline","WT",4,0.021
11,2,"F","Saline","WT",1,0.021
11,2,"F","Saline","WT",2,0.014
11,2,"F","Saline","WT",3,0.018
11,2,"F","Saline","WT",4,0.016
11,1,"F","SKF","WT",1,0.016
11,1,"F","SKF","WT",2,0.022
11,1,"F","SKF","WT",3,0.021
11,1,"F","SKF","WT",4,0.019
11,2,"F","SKF","WT",1,0.016
11,2,"F","SKF","WT",2,0.016
11,2,"F","SKF","WT",3,0.019
11,2,"F","SKF","WT",4,0.022
12,1,"F","Saline","WT",1,0.024
12,1,"F","Saline","WT",2,0.021
12,1,"F","Saline","WT",3,0.017
12,1,"F","Saline","WT",4,0.019
12,2,"F","Saline","WT",1,0.024
12,2,"F","Saline","WT",2,0.021
12,2,"F","Saline","WT",3,0.02
12,2,"F","Saline","WT",4,0.017
12,1,"F","SKF","WT",1,0.023
12,1,"F","SKF","WT",2,0.022
12,1,"F","SKF","WT",3,0.023
12,1,"F","SKF","WT",4,0.02
12,2,"F","SKF","WT",1,0.025
12,2,"F","SKF","WT",2,0.023
12,2,"F","SKF","WT",3,0.021
12,2,"F","SKF","WT",4,0.018
13,1,"F","Saline","WT",1,0.019
13,1,"F","Saline","WT",2,0.023
13,1,"F","Saline","WT",3,0.018
13,1,"F","Saline","WT",4,0.017
13,2,"F","Saline","WT",1,0.023
13,2,"F","Saline","WT",2,0.016
13,2,"F","Saline","WT",3,0.018
13,2,"F","Saline","WT",4,0.018
13,1,"F","SKF","WT",1,0.016
13,1,"F","SKF","WT",2,0.019
13,1,"F","SKF","WT",3,0.02
13,1,"F","SKF","WT",4,0.018
13,2,"F","SKF","WT",1,0.019
13,2,"F","SKF","WT",2,0.023
13,2,"F","SKF","WT",3,0.024
13,2,"F","SKF","WT",4,0.018
14,1,"F","Saline","WT",1,0.017
14,1,"F","Saline","WT",2,0.015
14,1,"F","Saline","WT",3,0.015
14,1,"F","Saline","WT",4,0.018
14,2,"F","Saline","WT",1,0.018
14,2,"F","Saline","WT",2,0.018
14,2,"F","Saline","WT",3,0.015
14,2,"F","Saline","WT",4,0.016
14,1,"F","SKF","WT",1,0.018
14,1,"F","SKF","WT",2,0.017
14,1,"F","SKF","WT",3,0.013
14,1,"F","SKF","WT",4,0.017
14,2,"F","SKF","WT",1,0.017
14,2,"F","SKF","WT",2,0.015
14,2,"F","SKF","WT",3,0.018
14,2,"F","SKF","WT",4,0.021
15,1,"F","Saline","WT",1,0.023
15,1,"F","Saline","WT",2,0.024
15,1,"F","Saline","WT",3,0.019
15,1,"F","Saline","WT",4,0.023
15,2,"F","Saline","WT",1,0.023
15,2,"F","Saline","WT",2,0.017
15,2,"F","Saline","WT",3,0.016
15,2,"F","Saline","WT",4,0.014
15,1,"F","SKF","WT",1,0.023
15,1,"F","SKF","WT",2,0.018
15,1,"F","SKF","WT",3,0.019
15,1,"F","SKF","WT",4,0.017
15,2,"F","SKF","WT",1,0.022
15,2,"F","SKF","WT",2,0.019
15,2,"F","SKF","WT",3,0.011
15,2,"F","SKF","WT",4,0.021
16,1,"F","Saline","WT",1,0.022
16,1,"F","Saline","WT",2,0.018
16,1,"F","Saline","WT",3,0.017
16,1,"F","Saline","WT",4,0.011
16,2,"F","Saline","WT",1,0.013
16,2,"F","Saline","WT",2,0.014
16,2,"F","Saline","WT",3,0.012
16,2,"F","Saline","WT",4,0.008
16,1,"F","SKF","WT",1,0.014
16,1,"F","SKF","WT",2,0.018
16,1,"F","SKF","WT",3,0.021
16,1,"F","SKF","WT",4,0.019
16,2,"F","SKF","WT",1,0.023
16,2,"F","SKF","WT",2,0.02
16,2,"F","SKF","WT",3,0.02
16,2,"F","SKF","WT",4,0.013
17,1,"F","Saline","WT",1,0.02
17,1,"F","Saline","WT",2,0.019
17,1,"F","Saline","WT",3,0.015
17,1,"F","Saline","WT",4,0.015
17,2,"F","Saline","WT",1,0.013
17,2,"F","Saline","WT",2,0.018
17,2,"F","Saline","WT",3,0.018
17,2,"F","Saline","WT",4,0.016
17,1,"F","SKF","WT",1,0.015
17,1,"F","SKF","WT",2,0.014
17,1,"F","SKF","WT",3,0.011
17,1,"F","SKF","WT",4,0.012
17,2,"F","SKF","WT",1,0.015
17,2,"F","SKF","WT",2,0.017
17,2,"F","SKF","WT",3,0.017
17,2,"F","SKF","WT",4,0.014
18,1,"F","Saline","KI",1,0.028
18,1,"F","Saline","KI",2,0.017
18,1,"F","Saline","KI",3,0.016
18,1,"F","Saline","KI",4,0.016
18,2,"F","Saline","KI",1,0.016
18,2,"F","Saline","KI",2,0.012
18,2,"F","Saline","KI",3,0.008
18,2,"F","Saline","KI",4,0.008
18,1,"F","SKF","KI",1,0.019
18,1,"F","SKF","KI",2,0.017
18,1,"F","SKF","KI",3,0.017
18,1,"F","SKF","KI",4,0.016
18,2,"F","SKF","KI",1,0.027
18,2,"F","SKF","KI",2,0.011
18,2,"F","SKF","KI",3,0.009
18,2,"F","SKF","KI",4,0.01
19,1,"F","Saline","KI",1,0.018
19,1,"F","Saline","KI",2,0.014
19,1,"F","Saline","KI",3,0.015
19,1,"F","Saline","KI",4,0.015
19,2,"F","Saline","KI",1,0.004
19,2,"F","Saline","KI",2,0.011
19,2,"F","Saline","KI",3,0.012
19,2,"F","Saline","KI",4,0.01
19,1,"F","SKF","KI",1,0.006
19,1,"F","SKF","KI",2,0.006
19,1,"F","SKF","KI",3,0.009
19,1,"F","SKF","KI",4,0.003
19,2,"F","SKF","KI",1,0.002
19,2,"F","SKF","KI",2,0.006
19,2,"F","SKF","KI",3,0.005
19,2,"F","SKF","KI",4,0.003
20,1,"F","Saline","KI",1,0.013
20,1,"F","Saline","KI",2,0.015
20,1,"F","Saline","KI",3,0.016
20,1,"F","Saline","KI",4,0.015
20,2,"F","Saline","KI",1,0.018
20,2,"F","Saline","KI",2,0.019
20,2,"F","Saline","KI",3,0.018
20,2,"F","Saline","KI",4,0.016
20,1,"F","SKF","KI",1,0.021
20,1,"F","SKF","KI",2,0.019
20,1,"F","SKF","KI",3,0.014
20,1,"F","SKF","KI",4,0.016
20,2,"F","SKF","KI",1,0.016
20,2,"F","SKF","KI",2,0.019
20,2,"F","SKF","KI",3,0.017
20,2,"F","SKF","KI",4,0.017
21,1,"F","Saline","KI",1,0.024
21,1,"F","Saline","KI",2,0.02
21,1,"F","Saline","KI",3,0.014
21,1,"F","Saline","KI",4,0.017
21,2,"F","Saline","KI",1,0.014
21,2,"F","Saline","KI",2,0.015
21,2,"F","Saline","KI",3,0.014
21,2,"F","Saline","KI",4,0.014
21,1,"F","SKF","KI",1,0.012
21,1,"F","SKF","KI",2,0.009
21,1,"F","SKF","KI",3,0.007
21,1,"F","SKF","KI",4,0.008
21,2,"F","SKF","KI",1,0.011
21,2,"F","SKF","KI",2,0.012
21,2,"F","SKF","KI",3,0.011
21,2,"F","SKF","KI",4,0.016
22,1,"F","Saline","KI",1,0.019
22,1,"F","Saline","KI",2,0.021
22,1,"F","Saline","KI",3,0.015
22,1,"F","Saline","KI",4,0.017
22,2,"F","Saline","KI",1,0.016
22,2,"F","Saline","KI",2,0.018
22,2,"F","Saline","KI",3,0.013
22,2,"F","Saline","KI",4,0.017
